School,Operating  Revenue,Operating Expenses,Operating Loss 2025,Contributions,Student Fees &  School Support,Endowment &  Investment,Surplus (Deficit)
Illinois,129511596.0,189859538.0,-60347942.0,50720205.0,11490052,3039325,4901640.0
Indiana,129055001.0,173020646.0,-43965645.0,26431033.0,27946488,-,10411876.0
Iowa,137331725.0,173379699.0,-36047974.0,35071275.0,2848923,4726168,6598392.0
Maryland,92608681.0,128662116.0,-36053435.0,11311080.0,18659414,1418743,-4664198.0
Michigan,214138899.0,261556268.0,-47417369.0,50362101.0,196545,11146570,14287847.0
Michigan St.,131075123.0,178288091.0,-47212968.0,36980159.0,7693718,4142651,1603560.0
Minnesota,127741577.0,161202217.0,-33460640.0,22376553.0,11657831,1829185,2402929.0
Nebraska,165504684.0,207743888.0,-42239204.0,48407981.0,-,1176342,7345119.0
Ohio St.,259634646.0,320394965.0,-60760319.0,68955032.0,-,7488209,15682922.0
Oregon,151180370.0,182702378.0,-31522008.0,33164614.0,589167,486753,2718526.0
Penn St.,186599369.0,236275528.0,-49676159.0,64557754.0,-,3710475,18592070.0
Purdue,119659133.0,149650825.0,-29991692.0,27693151.0,-,3184036,885495.0
Rutgers,105321274.0,193831838.0,-88510564.0,8122577.0,30870544,2323671,-47193772.0
UCLA,114487557.0,173429394.0,-58941837.0,13478195.0,21060000,2771489,-21632153.0
Washington,110425099.0,184354672.0,-73929573.0,52876796.0,10781975,4389247,-5881555.0
Wisconsin,162395226.0,193630009.0,-31234783.0,26219033.0,3176379,6136608,4297237.0
