Team,Games,Win,Loss,Off.Rank,Off.Plays,Off.Yards,Off.Yards.Play,Off.TDs,Off.Yards.per.Game,Def.Rank,Def.Plays,Yards.Allowed,Yards.Play.Allowed,Off.TDs.Allowed,Total.TDs.Allowed,Yards.Per.Game.Allowed,First.Down.Rank,First.Down.Runs,First.Down.Passes,First.Down.Penalties,First.Downs,First.Down.Def.Rank,Opp.First.Down.Runs,Opp.First.Down.Passes,Opp.First.Down.Penalties,Opp.First.Downs,X4th.Down.Rank,X4th.Attempts,X4th.Conversions,X4th.Percent,X4rd.Down.Def.Rank,Opp.4th.Conversion,Opp.4th.Attempt,Opponent.4th.Percent,Kickoff.Return.Rank,Kickoffs.Returned,Kickoff.Return.Yards,Kickoff.Return.Touchdowns,Avg.Yard.per.Kickoff.Return,...40,Kickoff.Return.Def.Rank,Opp.Kickoff.Returns,Kickoff.Touchbacks,Opponent.Kickoff.Return.Yards,Opp.Kickoff.Return.Touchdowns.Allowed,Avg.Yards.per.Kickoff.Return.Allowed,Passing.Off.Rank,Pass.Attempts,Pass.Completions,Interceptions.Thrown.x,Pass.Yards,Pass.Yards.Attempt,Yards.Completion,Pass.Touchdowns,Pass.Yards.Per.Game,Pass.Def.Rank,Opp.Completions.Allowed,Opp.Pass.Attempts,Opp.Pass.Yds.Allowed,Opp.Pass.TDs.Allowed,Yards.Attempt.Allowed,Yards.Completion.Allowed,Pass.Yards.Per.Game.Allowed,Penalty.Rank,Penalties,Penalty.Yards,Penalty.Yards.Per.Game,Punt.Return.Rank,Punt.Returns,Net.Punt.Return.Yards,Punt.Return.Touchdowns,Avg.Yards.Per.Punt.Return,Punt.Return.Def.Rank,Opp.Punt.Returns,Opp.Net.Punt.Return.Yards,Opp.Punt.Return.Touchdowns.Allowed,Avg.Yards.Allowed.per.Punt.Return,Redzone.Off.Rank,Redzone.Attempts,Redzone.Rush.TD,Redzone.Pass.TD,Redzone.Field.Goals.Made,Redzone.Scores,Redzone.Points,Redzone.Def.Rank,Opp.Redzone.Attempts,Opp.Redzone.Rush.TD.Allowed,Opp.Redzone.Pass.Touchdowns.Allowed,Opp.Redzone.Field.Goals.Made,Opp.Redzone.Scores,Redzone.Points.Allowed,Rushing.Off.Rank,Rush.Attempts,Rush.Yds,Yards.Rush,Rushing.TD,Rushing.Yards.per.Game,Rushing.Def.Rank,Opp.Rush.Attempts,Opp.Rush.Yards.Alloweed,Yds.Rush.Allowed,Opp.Rush.Touchdowns.Allowed,Rush.Yards.Per.Game.Allowed,Sack.Rank,Sacks,Sack.Yards,Average.Sacks.per.Game,Scoring.Def.Rank,Touchdowns.Allowed,Opponent.Extra.Points,X2.Point.Conversions.Allowed,Opp.Deflected.Extra.Points,Opp.Feild.Goals.Made,Opp.Safety,Points.Allowed,Avg.Points.per.Game.Allowed,Scoring.Off.Rank,Touchdowns,PAT,X2.Point.Conversions,Defensive.Points,Feild.Goals,Safety,Total.Points,Points.Per.Game,Tackle.for.Loss.Rank,Solo.Tackle.For.Loss,Assist.Tackle.For.Loss,Tackle.for.Loss.Yards,Total.Tackle.For.Loss,Tackle.For.Loss.Per.Game,X3rd.Down.Rank,X3rd.Attempts,X3rd.Conversions,X3rd.Percent,X3rd.Down.Def.Rank,Opp.3rd.Conversion,Opp.3rd.Attempt,Opponent.3rd.Percent,Time.of.Possession.Rank,Time.of.Possession,Average.Time.of.Possession.per.Game,Turnover.Rank,Fumbles.Recovered,Opponents.Intercepted,Turnovers.Gain,Fumbles.Lost,Interceptions.Thrown.y,Turnovers.Lost,Turnover.Margin,Avg.Turnover.Margin.per.Game,year,Unnamed: 0,Win-Loss,Off Rank,Off Plays,Off Yards,Off Yards/Play,Off TDs,Off Yards per Game,Def Rank,Def Plays,Yards Allowed,Yards/Play Allowed,Off TDs Allowed,Total TDs Allowed,Yards Per Game Allowed,First Down Rank,First Down Runs,First Down Passes,First Down Penalties,First Downs,First Down Def Rank,Opp First Down Runs,Opp First Down Passes,Opp First Down Penalties,Opp First Downs,4th Down Rank,4th Attempts,4th Conversions,4th Percent,4rd Down Def Rank,Opp 4th Conversion,Opp 4th Attempt,Opponent 4th Percent,Kickoff Return Rank,Kickoffs Returned,Kickoff Return Yards,Kickoff Return Touchdowns,Avg Yard per Kickoff Return,NA,Kickoff Return Def Rank,Opp Kickoff Returns,Kickoff Touchbacks,Opponent Kickoff Return Yards,Opp Kickoff Return Touchdowns Allowed,Avg Yards per Kickoff Return Allowed,Passing Off Rank,Pass Attempts,Pass Completions,Interceptions Thrown.x,Pass Yards,Pass Yards/Attempt,Yards/Completion,Pass Touchdowns,Pass Yards Per Game,Pass Def Rank,Opp Completions Allowed,Opp Pass Attempts,Opp Pass Yds Allowed,Opp Pass TDs Allowed,Yards/Attempt Allowed,Yards/Completion Allowed,Pass Yards Per Game Allowed,Penalty Rank,Penalty Yards,Penalty Yards Per Game,Punt Return Rank,Punt Returns,Net Punt Return Yards,Punt Return Touchdowns,Avg Yards Per Punt Return,Punt Return Def Rank,Opp Punt Returns,Opp Net Punt Return Yards,Opp Punt Return Touchdowns Allowed,Avg Yards Allowed per Punt Return,Redzone Off Rank,Redzone Attempts,Redzone Rush TD,Redzone Pass TD,Redzone Field Goals Made,Redzone Scores,Redzone Points,Redzone Def Rank,Opp Redzone Attempts,Opp Redzone Rush TD Allowed,Opp Redzone Pass Touchdowns Allowed,Opp Redzone Field Goals Made,Opp Redzone Scores,Redzone Points Allowed,Rushing Off Rank,Rush Attempts,Rush Yds,Yards/Rush,Rushing TD,Rushing Yards per Game,Rushing Def Rank,Opp Rush Attempts,Opp Rush Yards Alloweed,Yds/Rush Allowed,Opp Rush Touchdowns Allowed,Rush Yards Per Game Allowed,Sack Rank,Sack Yards,Average Sacks per Game,Scoring Def Rank,Touchdowns Allowed,Opponent Extra Points,2 Point Conversions Allowed,Opp Deflected Extra Points,Opp Feild Goals Made,Opp Safety,Points Allowed,Avg Points per Game Allowed,Scoring Off Rank,2 Point Conversions,Defensive Points,Feild Goals,Total Points,Points Per Game,Tackle for Loss Rank,Solo Tackle For Loss,Assist Tackle For Loss,Tackle for Loss Yards,Total Tackle For Loss,Tackle For Loss Per Game,3rd Down Rank,3rd Attempts,3rd Conversions,3rd Percent,3rd Down Def Rank,Opp 3rd Conversion,Opp 3rd Attempt,Opponent 3rd Percent,Time of Possession Rank,Time of Possession,Average Time of Possession per Game,Turnover Rank,Fumbles Recovered,Opponents Intercepted,Turnovers Gain,Fumbles Lost,Interceptions Thrown.y,Turnovers Lost,Turnover Margin,Avg Turnover Margin per Game,Interceptions Thrown_x,Opp Field Goals Made,Field Goals,Interceptions Thrown_y,Kickoff Touchbacks_x,Kickoff Touchbacks_y,Total.TDs
Air Force (MWC),12,5.0,7.0,52.0,882.0,4978.0,5.64,43.0,414.8,43.0,732.0,4331.0,5.92,40.0,42.0,360.9,8.0,76.0,121.0,12.0,209.0,8.0,76.0,121.0,12.0,209.0,30.0,24.0,40.0,0.6,32.0,8.0,18.0,0.444,11.0,32.0,29.0,550.0,0.0,17.19,11.0,32.0,29.0,550.0,0.0,17.19,124.0,168.0,93.0,5.0,1576.0,9.38,16.95,10.0,131.3,84.0,200.0,326.0,2928.0,23.0,8.98,14.64,244.0,21.0,54,521.0,43.42,126.0,11.0,168.0,1.0,15.27,126.0,11.0,168.0,1.0,15.27,7.0,46.0,28.0,6.0,8.0,42.0,0.913,69.0,30.0,13.0,6.0,6.0,25.0,0.833,3.0,714.0,3402.0,4.76,33.0,283.5,16.0,406.0,1403.0,3.46,17.0,116.9,2.0,7,49.0,0.58,56.0,42.0,37.0,1.0,0.0,6.0,0.0,309.0,25.8,55.0,47,41,3.0,0.0,10.0,2,363.0,30.3,72.0,50.0,38.0,267.0,69.0,5.8,49.0,169.0,70.0,0.414,93.0,64.0,153.0,0.418,4.0,   412:24,   34:22,77.0,7.0,7.0,14.0,10.0,5.0,15.0,-1.0,-0.08,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Akron (MAC),12,4.0,8.0,126.0,764.0,3533.0,4.62,21.0,294.4,61.0,898.0,4657.0,5.19,37.0,41.0,388.1,60.0,127.0,111.0,18.0,256.0,60.0,127.0,111.0,18.0,256.0,128.0,5.0,17.0,0.294,51.0,12.0,24.0,0.5,110.0,18.0,29.0,420.0,0.0,23.33,110.0,18.0,29.0,420.0,0.0,23.33,95.0,374.0,187.0,14.0,2390.0,6.39,12.78,16.0,199.2,27.0,222.0,367.0,2293.0,13.0,6.25,10.33,191.1,89.0,80,733.0,61.08,39.0,23.0,140.0,1.0,6.09,39.0,23.0,140.0,1.0,6.09,2.0,21.0,3.0,9.0,8.0,20.0,0.952,44.0,53.0,22.0,8.0,13.0,43.0,0.811,125.0,390.0,1143.0,2.93,5.0,95.3,99.0,531.0,2364.0,4.45,24.0,197.0,106.0,34,217.0,2.83,67.0,41.0,39.0,0.0,1.0,13.0,0.0,326.0,27.2,124.0,26,23,0.0,0.0,16.0,0,227.0,18.9,38.0,62.0,38.0,345.0,81.0,6.8,128.0,169.0,49.0,0.29,44.0,70.0,189.0,0.37,104.0,   337:54,   28:09,103.0,11.0,10.0,21.0,12.0,14.0,26.0,-5.0,-0.42,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alabama (SEC),15,14.0,1.0,6.0,1009.0,7830.0,7.76,85.0,522.0,16.0,981.0,4793.0,4.89,33.0,35.0,319.5,53.0,93.0,131.0,29.0,253.0,53.0,93.0,131.0,29.0,253.0,97.0,7.0,15.0,0.467,36.0,11.0,24.0,0.458,53.0,41.0,44.0,825.0,0.0,20.12,53.0,41.0,44.0,825.0,0.0,20.12,6.0,438.0,301.0,8.0,4854.0,11.08,16.13,52.0,323.6,33.0,244.0,465.0,2974.0,22.0,6.4,12.19,198.3,64.0,87,796.0,53.07,5.0,9.0,24.0,0.0,2.67,5.0,9.0,24.0,0.0,2.67,77.0,79.0,31.0,23.0,11.0,65.0,0.823,6.0,41.0,9.0,15.0,6.0,30.0,0.732,42.0,571.0,2976.0,5.21,33.0,198.4,19.0,516.0,1819.0,3.53,11.0,121.3,8.0,15,121.0,1.0,12.0,35.0,34.0,0.0,0.0,9.0,0.0,271.0,18.1,3.0,92,83,0.0,0.0,15.0,2,684.0,45.6,26.0,83.0,48.0,395.0,107.0,7.1,3.0,165.0,86.0,0.521,24.0,76.0,222.0,0.342,52.0,   454:55,   30:19,34.0,7.0,14.0,21.0,7.0,8.0,15.0,6.0,0.4,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Appalachian St. (Sun Belt),13,11.0,2.0,37.0,859.0,5603.0,6.52,58.0,431.0,6.0,845.0,3744.0,4.43,20.0,21.0,288.0,7.0,91.0,98.0,19.0,208.0,7.0,91.0,98.0,19.0,208.0,38.0,13.0,22.0,0.591,1.0,6.0,22.0,0.273,124.0,31.0,50.0,799.0,0.0,25.77,124.0,31.0,50.0,799.0,0.0,25.77,99.0,319.0,196.0,12.0,2478.0,7.77,12.64,27.0,190.6,5.0,209.0,370.0,2107.0,8.0,5.69,10.08,162.1,80.0,83,752.0,57.85,14.0,16.0,62.0,0.0,3.88,14.0,16.0,62.0,0.0,3.88,55.0,54.0,21.0,17.0,8.0,46.0,0.852,36.0,30.0,9.0,4.0,11.0,24.0,0.8,14.0,540.0,3125.0,5.79,31.0,240.4,21.0,475.0,1637.0,3.45,12.0,125.9,21.0,18,104.0,1.38,4.0,21.0,21.0,0.0,0.0,18.0,0.0,201.0,15.5,17.0,64,63,0.0,0.0,12.0,1,485.0,37.3,43.0,66.0,40.0,309.0,86.0,6.6,44.0,169.0,71.0,0.42,14.0,59.0,186.0,0.317,45.0,   397:29,   30:34,30.0,6.0,17.0,23.0,5.0,12.0,17.0,6.0,0.46,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arizona (Pac-12),12,5.0,7.0,24.0,881.0,5492.0,6.23,43.0,457.7,92.0,904.0,5184.0,5.73,51.0,52.0,432.0,102.0,102.0,146.0,36.0,284.0,102.0,102.0,146.0,36.0,284.0,74.0,9.0,18.0,0.5,98.0,17.0,28.0,0.607,72.0,11.0,60.0,231.0,0.0,21.0,72.0,11.0,60.0,231.0,0.0,21.0,38.0,389.0,216.0,10.0,3063.0,7.87,14.18,29.0,255.3,120.0,281.0,440.0,3234.0,27.0,7.35,11.51,269.5,127.0,95,908.0,75.67,52.0,13.0,96.0,0.0,7.38,52.0,13.0,96.0,0.0,7.38,62.0,45.0,10.0,13.0,15.0,38.0,0.844,21.0,48.0,17.0,13.0,7.0,37.0,0.771,32.0,492.0,2429.0,4.94,14.0,202.4,64.0,464.0,1950.0,4.2,24.0,162.5,33.0,20,137.0,1.67,98.0,52.0,48.0,2.0,0.0,9.0,0.0,391.0,32.6,42.0,46,39,0.0,0.0,19.0,2,376.0,31.3,55.0,66.0,20.0,275.0,76.0,6.3,27.0,181.0,79.0,0.436,87.0,76.0,185.0,0.411,100.0,   339:11,   28:15,90.0,8.0,7.0,15.0,9.0,10.0,19.0,-4.0,-0.33,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arizona St. (Pac-12),13,7.0,6.0,50.0,899.0,5417.0,6.03,46.0,416.7,73.0,921.0,5257.0,5.71,37.0,40.0,404.4,110.0,129.0,137.0,26.0,292.0,110.0,129.0,137.0,26.0,292.0,3.0,13.0,17.0,0.765,107.0,9.0,14.0,0.643,101.0,23.0,48.0,514.0,0.0,22.35,101.0,23.0,48.0,514.0,0.0,22.35,65.0,397.0,247.0,7.0,3025.0,7.62,12.25,20.0,232.7,71.0,246.0,408.0,3040.0,20.0,7.45,12.36,233.8,65.0,79,699.0,53.77,121.0,20.0,271.0,1.0,13.55,121.0,20.0,271.0,1.0,13.55,34.0,49.0,20.0,9.0,14.0,43.0,0.878,93.0,45.0,14.0,12.0,13.0,39.0,0.867,50.0,502.0,2392.0,4.76,26.0,184.0,74.0,513.0,2217.0,4.32,17.0,170.5,14.0,16,90.0,1.23,53.0,40.0,37.0,1.0,0.0,17.0,1.0,332.0,25.5,58.0,48,45,1.0,0.0,18.0,0,389.0,29.9,39.0,72.0,30.0,352.0,87.0,6.7,46.0,180.0,75.0,0.417,90.0,77.0,185.0,0.416,75.0,   383:44,   29:31,11.0,9.0,12.0,21.0,4.0,7.0,11.0,10.0,0.77,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arkansas (SEC),12,2.0,10.0,117.0,810.0,4028.0,4.97,28.0,335.7,79.0,827.0,4958.0,6.0,47.0,53.0,413.2,68.0,116.0,119.0,24.0,259.0,68.0,116.0,119.0,24.0,259.0,120.0,5.0,14.0,0.357,38.0,7.0,15.0,0.467,71.0,29.0,17.0,608.0,2.0,20.97,71.0,29.0,17.0,608.0,2.0,20.97,97.0,370.0,202.0,18.0,2307.0,6.24,11.42,17.0,192.3,87.0,220.0,347.0,2944.0,22.0,8.48,13.38,245.3,58.0,69,622.0,51.83,116.0,18.0,209.0,1.0,11.61,116.0,18.0,209.0,1.0,11.61,68.0,37.0,8.0,8.0,15.0,31.0,0.838,59.0,57.0,24.0,11.0,12.0,47.0,0.825,98.0,440.0,1721.0,3.91,11.0,143.4,70.0,480.0,2014.0,4.2,25.0,167.8,97.0,32,226.0,2.67,108.0,53.0,49.0,1.0,0.0,16.0,0.0,417.0,34.8,113.0,29,29,0.0,0.0,19.0,0,260.0,21.7,72.0,49.0,40.0,267.0,69.0,5.8,125.0,168.0,52.0,0.31,60.0,59.0,154.0,0.383,67.0,   358:18,   29:51,119.0,11.0,5.0,16.0,8.0,18.0,26.0,-10.0,-0.83,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arkansas St. (Sun Belt),13,8.0,5.0,17.0,980.0,6061.0,6.18,46.0,466.2,45.0,862.0,4804.0,5.57,44.0,45.0,369.5,21.0,119.0,88.0,25.0,232.0,21.0,119.0,88.0,25.0,232.0,64.0,16.0,30.0,0.533,51.0,11.0,22.0,0.5,6.0,49.0,12.0,803.0,0.0,16.39,6.0,49.0,12.0,803.0,0.0,16.39,21.0,472.0,303.0,10.0,3659.0,7.75,12.08,28.0,281.5,11.0,193.0,338.0,2311.0,23.0,6.84,11.97,177.8,105.0,99,865.0,66.54,1.0,8.0,-15.0,0.0,-1.88,1.0,8.0,-15.0,0.0,-1.88,111.0,50.0,16.0,14.0,9.0,39.0,0.78,27.0,37.0,12.0,11.0,6.0,29.0,0.784,49.0,508.0,2402.0,4.73,18.0,184.8,91.0,524.0,2493.0,4.76,21.0,191.8,43.0,24,152.0,1.85,54.0,45.0,39.0,0.0,0.0,8.0,0.0,333.0,25.6,54.0,50,42,3.0,0.0,14.0,2,394.0,30.3,13.0,66.0,68.0,370.0,100.0,7.7,57.0,200.0,80.0,0.4,35.0,67.0,187.0,0.358,59.0,   391:34,   30:07,41.0,8.0,12.0,20.0,6.0,10.0,16.0,4.0,0.31,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Army West Point (FBS Independent),13,11.0,2.0,76.0,922.0,5103.0,5.53,54.0,392.5,8.0,688.0,3842.0,5.58,29.0,30.0,295.5,4.0,78.0,107.0,19.0,204.0,4.0,78.0,107.0,19.0,204.0,1.0,31.0,36.0,0.861,51.0,15.0,30.0,0.5,56.0,45.0,15.0,912.0,0.0,20.27,56.0,45.0,15.0,912.0,0.0,20.27,127.0,98.0,52.0,3.0,1041.0,10.62,20.02,7.0,80.1,21.0,193.0,328.0,2454.0,17.0,7.48,12.72,188.8,42.0,63,626.0,48.15,50.0,7.0,51.0,0.0,7.29,50.0,7.0,51.0,0.0,7.29,31.0,58.0,40.0,2.0,9.0,51.0,0.879,20.0,30.0,11.0,9.0,3.0,23.0,0.767,2.0,824.0,4062.0,4.93,47.0,312.5,10.0,360.0,1388.0,3.86,12.0,106.8,1.0,3,23.0,0.23,10.0,30.0,23.0,3.0,0.0,7.0,0.0,230.0,17.7,36.0,57,57,0.0,0.0,9.0,0,426.0,32.8,101.0,52.0,28.0,287.0,66.0,5.1,1.0,196.0,112.0,0.571,4.0,34.0,128.0,0.266,1.0,   501:12,   38:33,11.0,13.0,5.0,18.0,5.0,3.0,8.0,10.0,0.77,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Auburn (SEC),13,8.0,5.0,78.0,894.0,5069.0,5.67,46.0,389.9,38.0,897.0,4620.0,5.15,25.0,26.0,355.4,45.0,95.0,122.0,30.0,247.0,45.0,95.0,122.0,30.0,247.0,74.0,11.0,22.0,0.5,14.0,8.0,21.0,0.381,39.0,16.0,56.0,311.0,0.0,19.44,39.0,16.0,56.0,311.0,0.0,19.44,74.0,382.0,233.0,5.0,2892.0,7.57,12.41,21.0,222.5,58.0,234.0,422.0,2853.0,16.0,6.76,12.19,219.5,75.0,83,737.0,56.69,9.0,11.0,37.0,0.0,3.36,9.0,11.0,37.0,0.0,3.36,89.0,53.0,22.0,10.0,11.0,43.0,0.811,64.0,35.0,5.0,7.0,17.0,29.0,0.829,68.0,512.0,2177.0,4.25,25.0,167.5,32.0,475.0,1767.0,3.72,9.0,135.9,39.0,23,168.0,1.77,14.0,26.0,25.0,0.0,0.0,22.0,1.0,249.0,19.2,47.0,51,49,0.0,0.0,15.0,1,402.0,30.9,20.0,74.0,44.0,374.0,96.0,7.4,90.0,179.0,66.0,0.369,30.0,68.0,196.0,0.347,99.0,   368:36,   28:21,16.0,8.0,14.0,22.0,8.0,5.0,13.0,9.0,0.69,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
