Conference,Unnamed: 1,Operating Revenue *,Operating Expenses,Net Loss from Operations ($),Contributions,School Support & Student Fees,Net Surplus (Deficit) **,% of expenses paid by School & Student Fees
SEC,,133625014.0,205027769.0,"- 71,402,755",68258094.0,6974108.0,3829447,3%
Big Ten,,131829564.0,187554432.0,"- 55,724,868",41286441.0,8454966.0,"- 5,983,461",4%
ACC,,97146144.0,151816480.0,"- 54,670,336",44989295.0,19468254.0,9787213,13%
Pac-12 (2023-24 line-up),,83408392.0,145097682.0,"- 61,689,290",27729575.0,22933681.0,"- 11,026,034",16%
Big 12,,66596824.0,114812794.0,"- 48,215,970",30590592.0,15520650.0,"- 2,104,728",14%
Mountain West,,22815885.0,64509764.0,"- 41,693,879",10691232.0,28137573.0,"- 2,865,074",44%
American,,17644874.0,62418964.0,"- 44,774,090",9393008.0,37538407.0,2157325,60%
Sun Belt,,11112224.0,46933285.0,"- 35,821,061",5993678.0,25624583.0,"- 2,759,053",55%
Mid-American,,9646224.0,36059723.0,"- 26,413,499",2857756.0,23623351.0,67708,66%
Conference USA,,9224151.0,36039621.0,"- 26,815,470",3498364.0,22466196.0,"- 850,910",62%
