Conference,# of Schools Participating,Avr Revenue per School *,Est Revenue Sharing 2025
Big Ten,18.0,146041873,20500000
SEC,16.0,133625014,20500000
ACC,17.0,97146144,20500000
Big 12,16.0,66596824,20500000
Pac 12,2.0,**,**
Mountain West,11.0,22815885,5019495
American,12.0,17644874,3881872
Sun Belt,14.0,11112224,2444689
Mid-American,13.0,9646224,2122169
Conference USA,12.0,9224151,2029313
FBS Independents,2.0,,19250000
FCS Schools,88.0,5160594,1135331
NCAA I Schools w/o Football,90.0,4779899,1051578
