team,year,win,loss,off_yards_play,points_per_game,yards_play_allowed,avg_points_per_game_allowed,x3rd_percent,opponent_3rd_percent,x4th_percent,opponent_4th_percent,avg_turnover_margin_per_game,avg_yard_per_kickoff_return,avg_yards_per_punt_return,avg_yards_allowed_per_punt_return,winning_percentage,avg_winning_percentage_last_3_years,change_in_winning_percentage_last_3_years,avg_ppg_last_2,avg_def_ppg_last_2,avg_turnover_margin_last_2,avg_ppg_last_3,avg_def_ppg_last_3,avg_turnover_margin_last_3,avg_ppg_last_5,avg_def_ppg_last_5,avg_turnover_margin_last_5,winning_percentage_lag1,winning_percentage_lag2,points_per_game_lag1,points_per_game_lag2,avg_points_per_game_allowed_lag1,avg_points_per_game_allowed_lag2,off_yards_play_lag1,off_yards_play_lag2,yards_play_allowed_lag1,yards_play_allowed_lag2,avg_turnover_margin_per_game_lag1,avg_turnover_margin_per_game_lag2,career_avg_win_pct,win_pct_above_history,team_id
Air Force,2017,5,7,5.52,31.4,6.81,32.4,0.488,0.423,0.64,0.556,-0.83,0.0,13.56,13.56,0.4166666666666667,0.4166666666666667,0.08333333333333331,31.4,32.4,-0.83,31.4,32.4,-0.83,31.4,32.4,-0.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4166666666666667,0.0,0
Air Force,2018,5,7,5.64,30.3,5.92,25.8,0.414,0.418,0.6,0.444,-0.08,0.0,15.27,15.27,0.4166666666666667,0.4166666666666667,0.08333333333333331,30.85,29.1,-0.45499999999999996,30.85,29.1,-0.45499999999999996,30.85,29.1,-0.45499999999999996,0.4166666666666667,0.0,31.4,0.0,32.4,0.0,5.52,0.0,6.81,0.0,-0.83,0.0,0.4166666666666667,0.0,0
Air Force,2019,11,2,6.22,34.1,5.53,19.8,0.535,0.405,0.762,0.464,-0.15,0.0,5.43,5.43,0.8461538461538461,0.5598290598290598,0.08333333333333331,32.2,22.8,-0.11499999999999999,31.933333333333334,26.0,-0.35333333333333333,31.933333333333334,26.0,-0.35333333333333333,0.4166666666666667,0.4166666666666667,30.3,31.4,25.8,32.4,5.64,5.52,5.92,6.81,-0.08,-0.83,0.5598290598290598,0.2863247863247863,0
Air Force,2020,3,3,6.26,24.3,5.06,15.0,0.485,0.466,0.727,0.3,0.0,1.0,3.75,3.75,0.5,0.5876068376068376,0.08333333333333331,29.200000000000003,17.4,-0.07499999999999998,29.566666666666666,20.2,-0.07666666666666666,30.025,23.25,-0.265,0.8461538461538461,0.4166666666666667,34.1,30.3,19.8,25.8,6.22,5.64,5.53,5.92,-0.15,-0.08,0.5448717948717949,-0.044871794871794934,0
Air Force,2021,10,3,5.81,31.0,5.23,19.8,0.449,0.401,0.78,0.4,0.46,1.0,2.62,2.62,0.7692307692307693,0.7051282051282052,0.3525641025641026,27.65,17.4,0.23,29.799999999999997,18.2,0.10333333333333335,30.22,22.56,-0.11999999999999997,0.5,0.8461538461538461,24.3,34.1,15.0,19.8,6.26,6.22,5.06,5.53,0.0,-0.15,0.5897435897435898,0.17948717948717952,0
Air Force,2022,10,3,5.81,27.8,5.03,13.4,0.449,0.279,0.724,0.409,0.23,10.8,2.75,3.11,0.7692307692307693,0.6794871794871794,-0.07692307692307687,29.4,16.6,0.34500000000000003,27.7,16.066666666666666,0.23,29.5,18.76,0.09200000000000001,0.7692307692307693,0.5,31.0,24.3,19.8,15.0,5.81,6.26,5.23,5.06,0.46,0.0,0.6196581196581197,0.1495726495726496,0
Air Force,2023,9,4,5.77,27.8,4.89,18.2,0.462,0.354,0.654,0.545,-0.23,16.79,2.38,2.38,0.6923076923076923,0.7435897435897436,0.1923076923076923,27.8,15.799999999999999,0.0,28.86666666666667,17.133333333333333,0.15333333333333335,29.0,17.24,0.062,0.7692307692307693,0.7692307692307693,27.8,31.0,13.4,19.8,5.81,5.81,5.03,5.23,0.23,0.46,0.6300366300366301,0.06227106227106216,0
Akron,2013,5,7,4.9,20.2,5.51,28.6,0.393,0.429,0.389,0.412,-0.17,18.36,7.27,7.27,0.4166666666666667,0.4166666666666667,0.0,20.2,28.6,-0.17,20.2,28.6,-0.17,20.2,28.6,-0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4166666666666667,0.0,1
Akron,2014,5,7,5.03,22.6,5.18,23.1,0.343,0.368,0.333,0.412,-0.17,19.26,7.24,7.24,0.4166666666666667,0.4166666666666667,0.0,21.4,25.85,-0.17,21.4,25.85,-0.17,21.4,25.85,-0.17,0.4166666666666667,0.0,20.2,0.0,28.6,0.0,4.9,0.0,5.51,0.0,-0.17,0.0,0.4166666666666667,0.0,1
Akron,2015,8,5,5.13,23.9,4.85,21.5,0.367,0.369,0.467,0.391,0.77,18.05,5.35,5.35,0.6153846153846154,0.48290598290598297,0.0,23.25,22.3,0.3,22.233333333333334,24.400000000000002,0.14333333333333334,22.233333333333334,24.400000000000002,0.14333333333333334,0.4166666666666667,0.4166666666666667,22.6,20.2,23.1,28.6,5.03,4.9,5.18,5.51,-0.17,-0.17,0.48290598290598297,0.13247863247863245,1
