School,Conference,Total Value ($) 2025 Awards,Available 2026 ($),Potential ($) Increase 2026,% Increase,# of Potential Awards 2026,Potential ($) Award 2026,Average ($) Award 2025
Michigan,Big Ten,31832324,67182241,35349917,111%,780,86131,49276
Ohio State,Big Ten,24930964,52158854,27227890,109%,862,60509,31242
Virginia,ACC,25375469,50853722,25478253,100%,666,76357,43751
California,ACC,23146379,50258141,27111762,117%,704,71389,35284
Tennessee,SEC,25357260,48737385,23380125,92%,529,92131,53384
Penn State,Big Ten,24365001,48233775,23868774,98%,764,63133,39489
Rutgers,Big Ten,23150831,46841262,23690431,102%,658,71187,38779
Clemson,ACC,21964110,41606168,19642058,89%,506,82226,48486
Michigan State,Big Ten,19670805,38379529,18708724,95%,592,64830,40309
UCLA,Big Ten,18912401,37584660,18672259,99%,601,62537,34512
Arizona State,Big 12,20012528,36963879,16951351,85%,547,67576,31417
UMass,MAC,13752216,35890873,22138657,161%,603,59521,34209
Wisconsin,Big Ten,19449379,35745079,16295700,84%,564,63378,40185
Florida,SEC,19280971,35153658,15872687,82%,499,70448,37880
Indiana,Big Ten,18375869,34747480,16371611,89%,595,58399,37655
Washington,Big Ten,19113740,33861469,14747729,77%,475,71287,42287
Maryland,Big Ten,19021511,33626521,14605010,77%,515,65294,41441
North Carolina,ACC,16208662,33300122,17091460,105%,725,45931,25647
Arizona,Big 12,16564008,31675341,15111333,91%,505,62723,34294
Minnesota,Big Ten,16825663,30317445,13491782,80%,584,51913,33451
Oklahoma,SEC,17242310,30251790,13009480,75%,500,60504,35698
Iowa,Big Ten,14867866,28168436,13300570,89%,578,48734,30655
Utah,Big 12,16830258,28109619,11279361,67%,467,60192,35284
Oregon,Big Ten,16332827,27873957,11541130,71%,425,65586,38250
UConn,Indep,14665170,27041679,12376509,84%,561,48203,29929
Texas,SEC,13922893,25531466,11608573,83%,511,49964,27958
Georgia,SEC,15241994,25180832,9938838,65%,481,52351,32361
West Virginia,Big 12,12934746,25108410,12173664,94%,481,52200,29464
Kansas,Big 12,12922225,24403437,11481212,89%,484,50420,31518
Colorado,Big 12,13773434,24252949,10479515,76%,368,65905,46065
Miami of Ohio,MAC,12820129,23677936,10857807,85%,466,50811,30379
Purdue,Big Ten,12926780,23365629,10438849,81%,460,50795,28854
Illinois,Big Ten,13337620,22876223,9538603,72%,468,48881,32851
North Carolina State,ACC,12284169,22865810,10581641,86%,516,44314,27730
Nebraska,Big Ten,12695377,22072351,9376974,74%,497,44411,26897
Washington State,Pac-12,12360402,21918347,9557945,77%,397,55210,36897
Arkansas,SEC,12660461,21409740,8749279,69%,425,50376,30144
New Mexico,MW,10765330,21276954,10511624,98%,421,50539,29987
LSU,SEC,14355669,21158422,6802753,47%,462,45797,37580
Mississippi,SEC,12870142,20597087,7726945,60%,373,55220,32748
Cincinnati,Big 12,11157398,20325742,9168344,82%,411,49454,30568
JMU,Sun Belt,11321170,20161800,8840630,78%,442,45615,28232
Hawaii,MW,11291965,19860940,8568975,76%,428,46404,29330
Oregon State,Pac-12,11327974,19724398,8396424,74%,422,46740,28534
Buffalo,MAC,10533910,19513933,8980023,85%,378,51624,33547
Eastern Michigan,MAC,11086717,19417666,8330949,75%,479,40538,23146
Mississippi State,SEC,11809282,19329384,7520102,64%,358,53993,32622
San Diego State,Pac-12,11111128,19143171,8032043,72%,426,44937,27167
Colorado State,Pac-12,10931302,19043359,8112057,74%,368,51748,35149
Nevada,MW,10379063,18909523,8530460,82%,384,49244,24830
Kent State,MAC,8724704,17979200,9254496,106%,469,38335,21332
Central Florida,Big 12,10774516,17306534,6532018,61%,397,43593,26215
Ball State,MAC,8615610,17055590,8439980,98%,437,39029,18215
Ohio,MAC,9660436,16994448,7334012,76%,412,41249,25761
Georgia Southern,Sun Belt,9508314,16954237,7445923,78%,377,44971,27802
Florida State,ACC,10861181,16835347,5974166,55%,424,39706,26298
Iowa State,Big 12,10068149,16779547,6711398,67%,399,42054,27967
Oklahoma State,Big 12,9129477,16685625,7556148,83%,424,39353,20153
South Florida,American,9764938,16616435,6851497,70%,433,38375,22869
Houston,Big 12,9660666,16581679,6921013,72%,406,40842,23620
Wyoming,MW,9298825,16384289,7085464,76%,387,42337,23541
Toledo,MAC,10372238,16345681,5973443,58%,371,44058,39893
Boise State,Pac-12,11128675,15691622,4562947,41%,355,44202,34886
Akron,MAC,7057404,15517754,8460350,120%,440,35268,17867
Kansas State,Big 12,8791998,15389494,6597496,75%,385,39973,23445
Louisiana Lafayette,Sun Belt,8826220,15227293,6401073,73%,380,40072,23663
Bowling Green,MAC,8285137,15089006,6803869,82%,415,36359,22094
Georgia State,Sun Belt,9253239,14936382,5683143,61%,347,43044,25992
Kennesaw State,CUSA,7766471,14477466,6710995,86%,420,34470,19762
New Mexico State,CUSA,8816374,14342010,5525636,63%,362,39619,25779
UNC Charlotte,American,7861644,14158022,6296378,80%,449,31532,20367
Texas State,Pac-12,8120202,14045074,5924872,73%,379,37058,25861
UTEP,MW,8275057,14005624,5730567,69%,346,40479,32324
Central Michigan,MAC,6801312,13694978,6893666,101%,433,31628,17712
Missouri State,CUSA,7249622,13555835,6306213,87%,419,32353,16628
Texas Tech,Big 12,7823759,13344144,5520385,71%,398,33528,21376
Appalachian State,Sun Belt,6933297,13131974,6198677,89%,409,32108,19866
Fresno State,Pac-12,8053470,13039159,4985689,62%,419,31120,21305
Marshall,Sun Belt,7859315,13012412,5153097,66%,429,30332,20574
Utah State,Pac-12,7568352,12551275,4982923,66%,374,33560,22796
Northern Illinois,MW,8106428,12473519,4367091,54%,367,33988,22707
Western Michigan,MAC,8614548,12217333,3602785,42%,368,33199,23732
North Dakota State,MW,5304948,12136186,6831238,129%,406,29892,15512
UTSA,American,7603749,11911968,4308219,57%,347,34328,24768
North Texas,American,6511401,11380017,4868616,75%,381,29869,19437
Western Kentucky,CUSA,5585245,11216298,5631053,101%,333,33683,20236
Sam Houston State,CUSA,6278201,11213329,4935128,79%,355,31587,19437
Southern Miss,Sun Belt,6615615,10907960,4292345,65%,348,31345,23132
