,team,year,win,loss,off_yards_play,points_per_game,yards_play_allowed,avg_points_per_game_allowed,x3rd_percent,opponent_3rd_percent,x4th_percent,opponent_4th_percent,avg_turnover_margin_per_game,avg_yard_per_kickoff_return,avg_yards_per_punt_return,avg_yards_allowed_per_punt_return
0,Akron,2013,5,7,4.9,20.2,5.51,28.6,0.393,0.429,0.389,0.412,-0.17,18.36,7.27,7.27
1,Alabama,2013,11,2,7.15,38.2,4.83,13.9,0.476,0.347,0.583,0.263,0.15,20.59,4.46,4.46
2,Arizona,2013,8,5,5.79,33.5,5.26,24.2,0.472,0.393,0.4,0.462,0.31,19.54,3.33,3.33
3,Arizona St.,2013,10,4,5.81,39.7,5.53,26.6,0.391,0.371,0.6,0.591,1.07,21.33,10.05,10.05
4,Arkansas,2013,3,9,5.53,20.7,6.09,30.8,0.417,0.434,0.467,0.643,-0.75,24.25,13.16,13.16
5,Arkansas St.,2013,8,5,5.6,29.2,5.78,26.2,0.446,0.382,0.286,0.429,0.54,19.02,7.18,7.18
6,Army West Point,2013,3,9,5.49,24.4,6.55,31.6,0.429,0.441,0.5,0.556,-0.08,20.29,6.75,6.75
7,Auburn,2013,12,2,6.92,39.5,5.96,24.7,0.465,0.33,0.533,0.464,0.0,25.79,7.0,7.0
8,Ball St.,2013,10,3,6.46,38.5,5.58,24.7,0.447,0.393,0.357,0.613,0.92,18.57,9.15,9.15
9,Baylor,2013,11,2,7.49,52.4,4.75,23.5,0.47,0.339,0.52,0.25,1.0,20.01,16.83,16.83
10,Boston College,2013,7,6,6.04,27.7,5.93,28.9,0.347,0.423,0.556,0.5,0.23,20.24,5.61,5.61
11,Bowling Green,2013,10,4,6.54,34.8,5.06,15.9,0.455,0.353,0.455,0.348,0.71,21.13,7.25,7.25
12,Buffalo,2013,8,5,5.32,30.3,5.59,24.4,0.401,0.348,0.471,0.222,1.08,18.08,7.91,7.91
13,BYU,2013,8,5,5.78,30.2,4.79,22.1,0.377,0.361,0.524,0.348,0.15,25.07,7.79,7.79
14,California,2013,1,11,5.21,23.0,7.08,45.9,0.338,0.414,0.421,0.667,-1.25,19.66,19.3,19.3
15,Central Mich.,2013,6,6,5.41,23.3,5.85,28.6,0.429,0.448,0.3,0.421,-0.42,19.81,10.79,10.79
16,Cincinnati,2013,9,4,6.23,32.1,4.77,21.0,0.484,0.331,0.474,0.545,-0.54,19.98,15.47,15.47
17,Clemson,2013,11,2,6.36,40.2,5.03,22.2,0.447,0.308,0.577,0.609,0.46,19.44,5.44,5.44
18,Colorado,2013,4,8,5.34,25.4,6.08,38.3,0.337,0.388,0.286,0.6,-0.25,23.26,9.1,9.1
19,Duke,2013,10,4,5.87,32.8,5.67,26.6,0.395,0.373,0.696,0.536,0.07,20.61,10.95,10.95
20,East Carolina,2013,10,3,5.92,40.2,4.9,24.8,0.51,0.456,0.706,0.52,0.62,21.93,6.86,6.86
21,Eastern Mich.,2013,2,10,5.16,18.8,7.61,45.2,0.34,0.474,0.571,0.8,-1.0,22.0,21.91,21.91
22,FIU,2013,1,11,3.56,9.8,6.58,37.0,0.225,0.397,0.435,0.636,-0.5,25.47,5.74,5.74
23,Fla. Atlantic,2013,6,6,5.37,26.4,4.88,22.3,0.4,0.335,0.533,0.438,-0.25,24.68,9.54,9.54
24,Florida,2013,4,8,4.79,18.8,5.3,21.1,0.39,0.34,0.611,0.471,-0.17,16.41,3.77,3.77
25,Florida St.,2013,14,0,7.67,51.6,4.09,12.1,0.522,0.322,0.75,0.5,1.21,18.59,16.93,16.93
26,Georgia,2013,8,5,6.66,36.7,5.41,29.0,0.418,0.399,0.591,0.636,-0.54,21.41,4.3,4.3
27,Georgia Tech,2013,7,6,6.1,35.1,5.52,22.8,0.514,0.363,0.444,0.615,-0.31,21.51,8.94,8.94
28,Houston,2013,8,5,5.72,33.2,5.23,21.8,0.356,0.344,0.235,0.56,1.92,21.5,4.06,4.06
29,Idaho,2013,1,11,4.78,18.2,6.93,46.8,0.33,0.468,0.441,0.684,-0.67,30.65,11.82,11.82
30,Illinois,2013,4,8,5.91,29.7,6.66,35.4,0.476,0.452,0.333,0.5,-0.83,24.79,5.85,5.85
31,Indiana,2013,5,7,6.58,38.4,6.74,38.8,0.467,0.465,0.5,0.448,-0.25,17.67,9.33,9.33
32,Iowa,2013,8,5,5.26,26.3,4.58,18.9,0.436,0.357,0.294,0.571,-0.08,23.28,4.9,4.9
33,Iowa St.,2013,3,9,4.82,24.8,6.05,36.0,0.345,0.384,0.684,0.565,-0.08,18.88,11.38,11.38
34,Kansas,2013,3,9,4.28,15.3,5.82,31.8,0.279,0.408,0.25,0.286,0.08,22.36,4.91,4.91
35,Kansas St.,2013,8,5,6.32,33.2,5.08,22.9,0.488,0.409,0.571,0.478,0.0,20.5,12.8,12.8
36,Kent St.,2013,4,8,5.55,20.8,6.05,26.9,0.395,0.424,0.474,0.308,-0.33,21.95,2.18,2.18
37,Kentucky,2013,2,10,5.29,20.5,6.26,31.2,0.309,0.447,0.607,0.688,0.0,19.8,6.2,6.2
38,La.-Monroe,2013,6,6,5.03,22.3,5.82,30.2,0.379,0.402,0.3,0.333,-0.33,19.14,9.23,9.23
39,Louisiana,2013,9,4,6.14,33.8,5.76,26.5,0.5,0.413,0.286,0.385,0.08,22.16,14.27,14.27
40,Louisiana Tech,2013,4,8,5.12,19.2,5.3,26.3,0.359,0.453,0.313,0.526,-0.25,19.74,3.14,3.14
41,Louisville,2013,12,1,6.7,35.2,4.2,12.2,0.56,0.267,0.333,0.522,1.31,22.65,1.15,1.15
42,LSU,2013,10,3,6.94,35.8,5.08,22.0,0.571,0.383,0.333,0.429,0.0,23.15,3.13,3.13
43,Marshall,2013,10,4,6.41,42.1,4.9,22.9,0.514,0.336,0.591,0.567,0.21,19.48,9.29,9.29
44,Maryland,2013,7,6,5.79,26.2,5.09,25.3,0.317,0.342,0.333,0.412,-0.54,20.16,5.68,5.68
45,Massachusetts,2013,1,11,4.29,11.7,6.6,33.0,0.36,0.404,0.409,0.474,-0.58,23.41,5.4,5.4
46,Memphis,2013,3,9,4.68,19.5,5.19,24.6,0.306,0.439,0.481,0.526,-0.67,21.07,6.8,6.8
47,Miami,2013,9,4,6.75,33.8,5.75,26.8,0.352,0.419,0.421,0.667,0.38,19.83,12.25,12.25
48,Miami,2013,0,12,3.68,9.8,6.35,35.7,0.246,0.482,0.423,0.75,-0.25,14.24,9.71,9.71
49,Michigan,2013,7,6,5.44,32.2,5.29,26.8,0.392,0.398,0.538,0.4,0.38,23.29,6.36,6.36
50,Michigan St.,2013,13,1,5.4,29.4,4.04,13.2,0.441,0.279,0.643,0.316,0.93,21.18,6.67,6.67
51,Middle Tenn.,2013,8,5,5.7,29.0,5.3,26.2,0.464,0.478,0.375,0.667,0.92,23.64,11.54,11.54
52,Minnesota,2013,8,5,5.23,25.7,5.66,22.2,0.423,0.368,0.7,0.591,0.23,20.57,10.42,10.42
53,Mississippi St.,2013,7,6,5.91,27.7,5.45,23.0,0.392,0.352,0.448,0.5,0.54,20.43,6.0,6.0
54,Missouri,2013,12,2,6.59,39.1,5.41,23.1,0.438,0.378,0.625,0.565,1.14,22.37,8.5,8.5
55,Navy,2013,9,4,5.81,33.5,5.65,24.4,0.511,0.459,0.679,0.552,0.92,19.84,6.55,6.55
56,NC State,2013,3,9,5.12,22.8,5.89,30.2,0.383,0.407,0.452,0.625,0.0,25.92,5.55,5.55
57,Nebraska,2013,9,4,5.57,31.9,5.21,24.8,0.392,0.309,0.667,0.381,-0.85,20.21,8.07,8.07
58,New Mexico St.,2013,2,10,5.43,20.9,7.65,44.6,0.367,0.452,0.364,0.556,-0.5,23.85,9.11,9.11
59,North Carolina,2013,7,6,5.87,32.7,5.28,24.5,0.41,0.4,0.667,0.333,0.15,23.11,2.89,2.89
60,North Texas,2013,9,4,5.61,31.8,5.14,17.8,0.47,0.363,0.533,0.308,0.85,21.29,6.14,6.14
61,Northern Ill.,2013,12,2,6.78,39.6,5.44,25.1,0.452,0.387,0.667,0.467,0.93,20.23,6.43,6.43
62,Northwestern,2013,5,7,5.39,26.2,5.46,27.1,0.399,0.401,0.429,0.5,0.25,19.28,3.81,3.81
63,Notre Dame,2013,9,4,6.08,27.2,5.12,22.4,0.42,0.419,0.385,0.316,0.0,25.68,9.47,9.47
64,Ohio,2013,7,6,5.56,27.4,5.75,27.5,0.392,0.442,0.417,0.571,-0.15,17.7,4.53,4.53
65,Ohio St.,2013,12,2,7.15,45.5,5.28,22.6,0.467,0.356,0.636,0.542,0.36,18.39,16.43,16.43
66,Oklahoma,2013,11,2,5.84,32.8,5.38,22.1,0.395,0.337,0.688,0.357,0.62,23.28,15.6,15.6
67,Oklahoma St.,2013,10,3,5.91,39.1,4.77,21.6,0.388,0.314,0.455,0.5,1.15,18.74,10.47,10.47
68,Ole Miss,2013,8,5,6.04,30.0,5.25,23.7,0.457,0.401,0.536,0.55,0.08,21.94,8.29,8.29
69,Oregon,2013,11,2,7.55,45.5,4.62,20.5,0.431,0.403,0.484,0.464,0.77,21.65,3.25,3.25
70,Oregon St.,2013,7,6,6.19,34.8,6.14,31.4,0.406,0.404,0.538,0.529,0.23,21.36,6.77,6.77
71,Penn St.,2013,7,5,5.71,28.7,5.3,26.2,0.343,0.365,0.542,0.429,-0.17,24.2,3.33,3.33
72,Pittsburgh,2013,7,6,5.52,26.3,5.52,27.2,0.382,0.383,0.5,0.368,-0.08,21.49,16.25,16.25
73,Purdue,2013,1,11,4.56,14.9,6.23,38.0,0.308,0.565,0.48,0.556,-0.25,24.52,3.26,3.26
74,Rice,2013,10,4,5.43,29.6,5.33,24.4,0.394,0.349,0.563,0.433,0.5,21.24,9.26,9.26
75,Rutgers,2013,6,7,5.29,26.5,5.68,29.8,0.353,0.416,0.778,0.765,-0.92,18.47,6.38,6.38
76,SMU,2013,5,7,5.53,26.8,5.58,33.3,0.389,0.412,0.481,0.45,-0.58,21.76,16.0,16.0
77,South Alabama,2013,6,6,5.79,29.4,5.62,25.2,0.4,0.364,0.364,0.579,0.42,15.87,7.91,7.91
78,South Carolina,2013,11,2,6.39,34.1,5.46,20.3,0.439,0.373,0.7,0.619,1.0,22.45,8.25,8.25
79,South Fla.,2013,2,10,4.28,13.8,5.42,28.6,0.279,0.39,0.313,0.556,-0.33,25.31,5.31,5.31
80,Southern California,2013,10,4,6.06,29.7,4.98,21.2,0.351,0.327,0.533,0.364,0.36,20.22,7.88,7.88
81,Southern Miss.,2013,1,11,4.62,17.1,5.87,41.9,0.296,0.459,0.438,0.8,-1.58,20.53,13.87,13.87
82,Stanford,2013,11,3,6.34,32.3,4.86,19.0,0.497,0.322,0.571,0.516,0.0,18.12,7.14,7.14
83,Syracuse,2013,7,6,5.11,22.7,5.32,25.4,0.388,0.335,0.471,0.421,0.15,16.89,9.0,9.0
84,TCU,2013,4,8,5.03,25.1,4.83,25.3,0.32,0.36,0.4,0.615,-0.17,25.39,10.76,10.76
85,Temple,2013,2,10,5.7,24.9,6.4,29.8,0.422,0.409,0.478,0.526,-0.5,21.28,4.54,4.54
86,Tennessee,2013,5,7,5.27,23.8,6.07,29.0,0.358,0.425,0.455,0.75,0.08,25.43,9.91,9.91
87,Texas,2013,8,5,5.29,29.3,5.48,25.8,0.405,0.368,0.458,0.385,0.31,24.95,8.64,8.64
88,Texas A&M,2013,9,4,7.34,44.2,6.36,32.2,0.503,0.41,0.611,0.56,0.08,18.27,10.69,10.69
89,Texas St.,2013,6,6,5.08,23.9,5.41,27.3,0.339,0.395,0.524,0.31,0.17,21.94,12.43,12.43
90,Texas Tech,2013,8,5,5.85,35.8,5.36,30.5,0.45,0.343,0.444,0.448,-1.08,21.81,10.82,10.82
91,Toledo,2013,7,5,6.37,33.0,5.82,28.6,0.421,0.455,0.5,0.647,0.33,20.6,8.92,8.92
92,Troy,2013,6,6,6.04,34.1,6.67,35.9,0.441,0.436,0.667,0.421,-0.67,22.05,8.59,8.59
93,Tulane,2013,7,6,4.66,24.8,4.92,21.4,0.359,0.394,0.545,0.6,0.85,20.62,7.8,7.8
94,Tulsa,2013,3,9,4.69,21.1,5.52,33.9,0.35,0.44,0.567,0.583,-0.83,23.73,9.71,9.71
95,UAB,2013,2,10,5.84,26.3,7.21,43.8,0.375,0.46,0.476,0.833,-0.5,21.29,7.9,7.9
96,UCF,2013,12,1,6.56,34.6,5.35,21.3,0.487,0.412,0.375,0.4,0.38,20.31,5.06,5.06
97,UCLA,2013,10,3,6.1,36.9,5.08,23.2,0.49,0.349,0.417,0.478,0.77,18.67,3.94,3.94
98,UConn,2013,3,9,4.62,20.6,5.52,30.3,0.342,0.384,0.55,0.4,-0.08,24.47,7.04,7.04
99,Utah,2013,5,7,5.51,29.2,5.38,28.0,0.342,0.365,0.611,0.5,-0.83,22.91,6.74,6.74
100,UTEP,2013,2,10,5.05,21.8,7.43,39.3,0.401,0.469,0.667,0.727,-0.5,21.97,4.73,4.73
101,Vanderbilt,2013,9,4,5.41,30.1,5.07,24.6,0.331,0.368,0.786,0.583,0.46,18.4,6.61,6.61
102,Virginia,2013,2,10,4.44,19.8,5.66,33.3,0.38,0.32,0.24,0.429,-0.42,22.37,10.09,10.09
103,Virginia Tech,2013,8,5,5.0,22.5,4.55,19.3,0.323,0.297,0.588,0.375,0.54,20.91,11.64,11.64
104,Wake Forest,2013,4,8,4.35,18.3,5.0,24.1,0.353,0.363,0.833,0.524,-0.17,22.81,8.3,8.3
105,Washington,2013,9,4,6.35,37.9,4.98,22.8,0.49,0.378,0.421,0.346,0.54,24.26,5.37,5.37
106,Washington St.,2013,6,7,5.48,31.0,5.92,32.5,0.395,0.381,0.6,0.577,-0.38,20.04,7.0,7.0
107,West Virginia,2013,4,8,5.53,26.3,5.93,33.3,0.319,0.427,0.222,0.75,-0.33,22.93,5.07,5.07
108,Western Ky.,2013,8,4,6.29,30.8,5.33,24.6,0.462,0.451,0.5,0.467,-0.83,20.09,10.18,10.18
109,Western Mich.,2013,1,11,4.75,17.2,5.82,35.4,0.309,0.457,0.455,0.647,-0.67,21.76,11.5,11.5
110,Wisconsin,2013,9,4,6.85,34.8,4.73,16.3,0.418,0.306,0.55,0.45,0.08,19.31,7.23,7.23
0,Akron,2014,5,7,5.03,22.6,5.18,23.1,0.343,0.368,0.333,0.412,-0.17,19.26,7.24,7.24
1,Alabama,2014,12,2,6.66,36.9,4.87,18.4,0.515,0.378,0.769,0.389,-0.14,21.52,6.92,6.92
2,Arizona,2014,10,4,5.7,34.5,5.66,28.2,0.38,0.405,0.615,0.389,0.57,18.95,8.38,8.38
3,Arizona St.,2014,10,3,5.9,36.9,5.62,27.9,0.382,0.378,0.435,0.5,1.08,23.27,13.07,13.07
4,Arkansas,2014,7,6,5.76,31.9,5.12,19.2,0.471,0.396,0.632,0.222,0.54,23.84,3.06,3.06
5,Arkansas St.,2014,7,6,6.05,36.7,5.62,30.5,0.377,0.359,0.5,0.435,0.46,16.31,3.1,3.1
6,Army West Point,2014,4,8,5.59,24.9,6.48,32.9,0.409,0.456,0.516,0.696,0.17,21.76,3.0,3.0
7,Auburn,2014,8,5,6.71,35.5,5.67,26.7,0.525,0.36,0.429,0.6,0.54,21.73,7.79,7.79
8,Ball St.,2014,5,7,5.17,27.7,5.87,27.2,0.384,0.437,0.846,0.5,0.75,23.07,8.14,8.14
9,Baylor,2014,11,2,6.64,48.2,5.28,25.5,0.469,0.386,0.735,0.25,1.0,18.57,5.09,5.09
10,Boston College,2014,7,6,5.69,26.2,5.13,21.3,0.362,0.389,0.6,0.5,0.08,18.55,6.46,6.46
11,Bowling Green,2014,8,6,5.5,30.0,5.98,33.5,0.377,0.43,0.304,0.435,0.71,21.74,7.17,7.17
12,Buffalo,2014,5,6,5.95,32.3,5.86,31.5,0.457,0.379,0.522,0.714,-0.27,19.79,3.56,3.56
13,BYU,2014,8,5,5.7,37.1,4.93,27.5,0.434,0.381,0.652,0.607,-0.08,18.43,9.33,9.33
14,California,2014,5,7,6.09,38.3,6.27,39.8,0.461,0.419,0.679,0.741,-0.25,20.71,11.43,11.43
15,Central Mich.,2014,7,6,5.84,26.9,5.44,25.2,0.435,0.403,0.438,0.5,-0.38,21.7,13.17,13.17
16,Cincinnati,2014,9,4,6.33,34.0,5.98,27.2,0.412,0.441,0.688,0.412,0.15,22.74,4.92,4.92
17,Clemson,2014,10,3,5.36,30.8,4.03,16.7,0.419,0.274,0.357,0.333,0.46,19.9,6.44,6.44
18,Colorado,2014,2,10,5.29,28.5,6.55,39.0,0.401,0.4,0.483,0.538,-0.83,21.43,10.65,10.65
19,Duke,2014,9,4,5.38,32.4,5.28,21.8,0.418,0.344,0.552,0.29,0.46,23.25,2.06,2.06
20,East Carolina,2014,8,5,6.48,35.8,5.1,25.8,0.469,0.342,0.458,0.636,-0.31,22.46,7.5,7.5
21,Eastern Mich.,2014,2,10,4.46,15.2,6.75,40.9,0.356,0.473,0.417,0.5,-1.5,25.31,13.17,13.17
22,FIU,2014,4,8,4.33,23.0,5.38,24.8,0.321,0.359,0.455,0.529,0.92,20.08,7.3,7.3
23,Fla. Atlantic,2014,3,9,5.39,24.0,6.23,34.4,0.385,0.466,0.611,0.625,-0.25,22.64,8.88,8.88
24,Florida,2014,7,5,5.24,30.3,4.55,21.1,0.365,0.388,0.533,0.333,0.5,22.4,8.76,8.76
25,Florida St.,2014,13,1,6.39,33.7,5.51,25.6,0.457,0.439,0.0,0.304,-0.43,18.8,7.08,7.08
26,Georgia,2014,10,3,6.79,41.3,4.84,20.7,0.497,0.395,0.8,0.632,1.23,19.25,4.7,4.7
