Sport,Team,Average Per Team,Average Roster *,Average Per Athlete,%
Football,M,15345899,105.0,146151.0,75.0%
Basketball,M,3279161,15.0,218611.0,16.0%
Hockey,M,552813,26.0,21262.0,2.7%
Baseball,M,364567,34.0,10723.0,1.8%
Basketball,W,233913,14.0,16708.0,1.1%
Wrestling,M,126591,30.0,4220.0,0.6%
Volleyball,W,103938,17.0,6114.0,0.5%
Gymnastics,W,91333,19.0,4807.0,0.4%
Softball,W,83526,23.0,3632.0,0.4%
Hockey,W,65236,25.0,2609.0,0.3%
Soccer,M/W,58860,28.0,2102.0,0.3%
Track & Field / X-C,M/W,43366,49.0,885.0,0.2%
Lacrosse,M/W,41083,41.0,1002.0,0.2%
Swimming,M/W,31986,30.0,1066.0,0.1%
Rowing,W,20139,64.0,315.0,0.1%
Field Hockey,W,19299,25.0,772.0,0.1%
Tennis,M/W,17164,9.0,1907.0,0.1%
Golf,M/W,12590,9.0,1399.0,0.1%
Beach Volleyball,W,8536,17.0,502.0,0.1%
