Team,Conference
Idaho,Sun Belt
La.-Monroe,Sun Belt
Appalachian St.,Sun Belt
Northern Ill.,MAC
ULM,Sun Belt
Arizona St.,Pac-12
Bowling Green,MAC
San Diego St.,Mountain West
Arkansas,SEC
UConn,FBS Independent
Wyoming,Mountain West
Wake Forest,ACC
Mississippi St.,SEC
Fla. Atlantic,AAC
Indiana,Big Ten
Kentucky,SEC
Syracuse,ACC
Central Mich.,MAC
Ohio,MAC
Kent St.,MAC
East Carolina,AAC
Akron,MAC
Michigan St.,Big Ten
Nevada,Mountain West
Navy,AAC
Minnesota,Big Ten
Northwestern,Big Ten
Rutgers,Big Ten
Ball St.,MAC
BYU,Big 12
Army West Point,FBS Independent
Nebraska,Big Ten
Charlotte,AAC
FIU,CUSA
Memphis,AAC
Ole Miss,SEC
Washington,Pac-12
TCU,Big 12
Southern California,Pac-12
Texas,Big 12
UCF,Big 12
North Carolina,ACC
North Texas,AAC
Georgia,SEC
Liberty,CUSA
Oklahoma,Big 12
Oregon,Pac-12
Oklahoma St.,Big 12
Notre Dame,FBS Independent
Missouri,SEC
West Virginia,Big 12
Boise St.,Mountain West
Utah St.,Mountain West
South Alabama,Sun Belt
Kansas St.,Big 12
App State,Sun Belt
Kansas,Big 12
Arizona,Pac-12
Tennessee,SEC
UAB,AAC
South Fla.,AAC
SMU,AAC
Texas St.,Sun Belt
Florida,SEC
Oregon St.,Pac-12
New Mexico,Mountain West
New Mexico St.,CUSA
UNLV,Mountain West
Louisville,ACC
Coastal Carolina,Sun Belt
Toledo,MAC
Troy,Sun Belt
Ga. Southern,Sun Belt
UTSA,AAC
Washington St.,Pac-12
Georgia Tech,ACC
Cincinnati,Big 12
UCLA,Pac-12
Miami,FL
Fresno St.,Mountain West
California,Pac-12
Illinois,Big Ten
Middle Tenn.,CUSA
Virginia Tech,ACC
Louisiana,Sun Belt
Alabama,SEC
Georgia St.,Sun Belt
Colorado St.,Mountain West
Penn St.,Big Ten
Florida St.,ACC
Western Ky.,CUSA
Clemson,ACC
San Jose St.,Mountain West
Texas A&M,SEC
Ohio St.,Big Ten
Western Mich.,MAC
Air Force,Mountain West
Virginia,ACC
NIU,MAC
Tulane,AAC
Temple,AAC
Arkansas St.,Sun Belt
Baylor,Big 12
Purdue,Big Ten
Wisconsin,Big Ten
Boston College,ACC
Michigan,Big Ten
Louisiana Tech,CUSA
Tulsa,AAC
Texas Tech,Big 12
Maryland,Big Ten
Duke,ACC
Old Dominion,Sun Belt
Utah,Pac-12
NC State,ACC
Auburn,SEC
Stanford,Pac-12
Hawaii,Mountain West
Southern Miss.,Sun Belt
Massachusetts,FBS Independent
Marshall,Sun Belt
Houston,Big 12
UTEP,CUSA
Rice,AAC
South Carolina,SEC
Colorado,Pac-12
Iowa St.,Big 12
LSU,SEC
Vanderbilt,SEC
Buffalo,MAC
Eastern Mich.,MAC
Iowa,Big Ten
Reclassifying,Unknown
James Madison,Sun Belt
Jacksonville St.,CUSA
Sam Houston,CUSA
Pittsburgh,ACC
